序号,类别,名称,控件ID,行,列,x_mm,y_mm,形状,半径_mm,宽度_mm,高度_mm,备注
261,界面控件,试剂_S12_Z-Dispens吸液/排液高度,svg-reagent-s12-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
262,界面控件,试剂_S12_通道移液面板,svg-reagent-s12-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
263,界面控件,试剂_S12_移液孔位,svg-reagent-s12-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
264,界面控件,试剂_S12_移液液量,svg-reagent-s12-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
265,界面控件,试剂_S12_控制针,svg-reagent-s12-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
266,界面控件,试剂_S22_条码ROI面板,svg-reagent-s22-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
267,界面控件,试剂_S22_ROI Left,svg-reagent-s22-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
268,界面控件,试剂_S22_ROI Top,svg-reagent-s22-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
269,界面控件,试剂_S22_ROI Width,svg-reagent-s22-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
270,界面控件,试剂_S22_ROI Height,svg-reagent-s22-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
271,界面控件,试剂_S22_孔位Z参数面板,svg-reagent-s22-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
272,界面控件,试剂_S22_液体类型,svg-reagent-s22-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
273,界面控件,试剂_S22_Z-Travel安全移动高度,svg-reagent-s22-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
274,界面控件,试剂_S22_Z-Start探液高度,svg-reagent-s22-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
275,界面控件,试剂_S22_Z-End针尖最大下降深度,svg-reagent-s22-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
276,界面控件,试剂_S22_Z-Dispens吸液/排液高度,svg-reagent-s22-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
277,界面控件,试剂_S22_通道移液面板,svg-reagent-s22-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
278,界面控件,试剂_S22_移液孔位,svg-reagent-s22-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
279,界面控件,试剂_S22_移液液量,svg-reagent-s22-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
280,界面控件,试剂_S22_控制针,svg-reagent-s22-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
281,界面控件,试剂_S32_条码ROI面板,svg-reagent-s32-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
282,界面控件,试剂_S32_ROI Left,svg-reagent-s32-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
283,界面控件,试剂_S32_ROI Top,svg-reagent-s32-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
284,界面控件,试剂_S32_ROI Width,svg-reagent-s32-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
285,界面控件,试剂_S32_ROI Height,svg-reagent-s32-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
286,界面控件,试剂_S32_孔位Z参数面板,svg-reagent-s32-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
287,界面控件,试剂_S32_液体类型,svg-reagent-s32-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
288,界面控件,试剂_S32_Z-Travel安全移动高度,svg-reagent-s32-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
289,界面控件,试剂_S32_Z-Start探液高度,svg-reagent-s32-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
290,界面控件,试剂_S32_Z-End针尖最大下降深度,svg-reagent-s32-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
291,界面控件,试剂_S32_Z-Dispens吸液/排液高度,svg-reagent-s32-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
292,界面控件,试剂_S32_通道移液面板,svg-reagent-s32-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
293,界面控件,试剂_S32_移液孔位,svg-reagent-s32-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
294,界面控件,试剂_S32_移液液量,svg-reagent-s32-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
295,界面控件,试剂_S32_控制针,svg-reagent-s32-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
296,界面控件,试剂_S42_条码ROI面板,svg-reagent-s42-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
297,界面控件,试剂_S42_ROI Left,svg-reagent-s42-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
298,界面控件,试剂_S42_ROI Top,svg-reagent-s42-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
299,界面控件,试剂_S42_ROI Width,svg-reagent-s42-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
300,界面控件,试剂_S42_ROI Height,svg-reagent-s42-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
301,界面控件,试剂_S42_孔位Z参数面板,svg-reagent-s42-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
302,界面控件,试剂_S42_液体类型,svg-reagent-s42-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
303,界面控件,试剂_S42_Z-Travel安全移动高度,svg-reagent-s42-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
304,界面控件,试剂_S42_Z-Start探液高度,svg-reagent-s42-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
305,界面控件,试剂_S42_Z-End针尖最大下降深度,svg-reagent-s42-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
306,界面控件,试剂_S42_Z-Dispens吸液/排液高度,svg-reagent-s42-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
307,界面控件,试剂_S42_通道移液面板,svg-reagent-s42-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
308,界面控件,试剂_S42_移液孔位,svg-reagent-s42-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
309,界面控件,试剂_S42_移液液量,svg-reagent-s42-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
310,界面控件,试剂_S42_控制针,svg-reagent-s42-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
311,界面控件,试剂_S52_条码ROI面板,svg-reagent-s52-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
312,界面控件,试剂_S52_ROI Left,svg-reagent-s52-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
313,界面控件,试剂_S52_ROI Top,svg-reagent-s52-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
314,界面控件,试剂_S52_ROI Width,svg-reagent-s52-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
315,界面控件,试剂_S52_ROI Height,svg-reagent-s52-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
316,界面控件,试剂_S52_孔位Z参数面板,svg-reagent-s52-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
317,界面控件,试剂_S52_液体类型,svg-reagent-s52-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
318,界面控件,试剂_S52_Z-Travel安全移动高度,svg-reagent-s52-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
319,界面控件,试剂_S52_Z-Start探液高度,svg-reagent-s52-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
320,界面控件,试剂_S52_Z-End针尖最大下降深度,svg-reagent-s52-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
321,界面控件,试剂_S52_Z-Dispens吸液/排液高度,svg-reagent-s52-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
322,界面控件,试剂_S52_通道移液面板,svg-reagent-s52-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
323,界面控件,试剂_S52_移液孔位,svg-reagent-s52-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
324,界面控件,试剂_S52_移液液量,svg-reagent-s52-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
325,界面控件,试剂_S52_控制针,svg-reagent-s52-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
326,界面控件,试剂_S13_条码ROI面板,svg-reagent-s13-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
327,界面控件,试剂_S13_ROI Left,svg-reagent-s13-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
328,界面控件,试剂_S13_ROI Top,svg-reagent-s13-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
329,界面控件,试剂_S13_ROI Width,svg-reagent-s13-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
330,界面控件,试剂_S13_ROI Height,svg-reagent-s13-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
331,界面控件,试剂_S13_孔位Z参数面板,svg-reagent-s13-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
332,界面控件,试剂_S13_液体类型,svg-reagent-s13-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
333,界面控件,试剂_S13_Z-Travel安全移动高度,svg-reagent-s13-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
334,界面控件,试剂_S13_Z-Start探液高度,svg-reagent-s13-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
335,界面控件,试剂_S13_Z-End针尖最大下降深度,svg-reagent-s13-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
336,界面控件,试剂_S13_Z-Dispens吸液/排液高度,svg-reagent-s13-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
337,界面控件,试剂_S13_通道移液面板,svg-reagent-s13-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
338,界面控件,试剂_S13_移液孔位,svg-reagent-s13-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
339,界面控件,试剂_S13_移液液量,svg-reagent-s13-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
340,界面控件,试剂_S13_控制针,svg-reagent-s13-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
341,界面控件,试剂_S23_条码ROI面板,svg-reagent-s23-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
342,界面控件,试剂_S23_ROI Left,svg-reagent-s23-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
343,界面控件,试剂_S23_ROI Top,svg-reagent-s23-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
344,界面控件,试剂_S23_ROI Width,svg-reagent-s23-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
345,界面控件,试剂_S23_ROI Height,svg-reagent-s23-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
346,界面控件,试剂_S23_孔位Z参数面板,svg-reagent-s23-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
347,界面控件,试剂_S23_液体类型,svg-reagent-s23-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
348,界面控件,试剂_S23_Z-Travel安全移动高度,svg-reagent-s23-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
349,界面控件,试剂_S23_Z-Start探液高度,svg-reagent-s23-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
350,界面控件,试剂_S23_Z-End针尖最大下降深度,svg-reagent-s23-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
351,界面控件,试剂_S23_Z-Dispens吸液/排液高度,svg-reagent-s23-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
352,界面控件,试剂_S23_通道移液面板,svg-reagent-s23-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
353,界面控件,试剂_S23_移液孔位,svg-reagent-s23-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
354,界面控件,试剂_S23_移液液量,svg-reagent-s23-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
355,界面控件,试剂_S23_控制针,svg-reagent-s23-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
356,界面控件,试剂_S33_条码ROI面板,svg-reagent-s33-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
357,界面控件,试剂_S33_ROI Left,svg-reagent-s33-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
358,界面控件,试剂_S33_ROI Top,svg-reagent-s33-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
359,界面控件,试剂_S33_ROI Width,svg-reagent-s33-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
360,界面控件,试剂_S33_ROI Height,svg-reagent-s33-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
361,界面控件,试剂_S33_孔位Z参数面板,svg-reagent-s33-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
362,界面控件,试剂_S33_液体类型,svg-reagent-s33-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
363,界面控件,试剂_S33_Z-Travel安全移动高度,svg-reagent-s33-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
364,界面控件,试剂_S33_Z-Start探液高度,svg-reagent-s33-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
365,界面控件,试剂_S33_Z-End针尖最大下降深度,svg-reagent-s33-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
366,界面控件,试剂_S33_Z-Dispens吸液/排液高度,svg-reagent-s33-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
367,界面控件,试剂_S33_通道移液面板,svg-reagent-s33-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
368,界面控件,试剂_S33_移液孔位,svg-reagent-s33-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
369,界面控件,试剂_S33_移液液量,svg-reagent-s33-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
370,界面控件,试剂_S33_控制针,svg-reagent-s33-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
371,界面控件,试剂_S43_条码ROI面板,svg-reagent-s43-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
372,界面控件,试剂_S43_ROI Left,svg-reagent-s43-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
373,界面控件,试剂_S43_ROI Top,svg-reagent-s43-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
374,界面控件,试剂_S43_ROI Width,svg-reagent-s43-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
375,界面控件,试剂_S43_ROI Height,svg-reagent-s43-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
376,界面控件,试剂_S43_孔位Z参数面板,svg-reagent-s43-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
377,界面控件,试剂_S43_液体类型,svg-reagent-s43-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
378,界面控件,试剂_S43_Z-Travel安全移动高度,svg-reagent-s43-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
379,界面控件,试剂_S43_Z-Start探液高度,svg-reagent-s43-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
380,界面控件,试剂_S43_Z-End针尖最大下降深度,svg-reagent-s43-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
381,界面控件,试剂_S43_Z-Dispens吸液/排液高度,svg-reagent-s43-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
382,界面控件,试剂_S43_通道移液面板,svg-reagent-s43-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
383,界面控件,试剂_S43_移液孔位,svg-reagent-s43-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
384,界面控件,试剂_S43_移液液量,svg-reagent-s43-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
385,界面控件,试剂_S43_控制针,svg-reagent-s43-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
386,界面控件,试剂_S53_条码ROI面板,svg-reagent-s53-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
387,界面控件,试剂_S53_ROI Left,svg-reagent-s53-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
388,界面控件,试剂_S53_ROI Top,svg-reagent-s53-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
389,界面控件,试剂_S53_ROI Width,svg-reagent-s53-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
390,界面控件,试剂_S53_ROI Height,svg-reagent-s53-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
391,界面控件,试剂_S53_孔位Z参数面板,svg-reagent-s53-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
392,界面控件,试剂_S53_液体类型,svg-reagent-s53-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
393,界面控件,试剂_S53_Z-Travel安全移动高度,svg-reagent-s53-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
394,界面控件,试剂_S53_Z-Start探液高度,svg-reagent-s53-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
395,界面控件,试剂_S53_Z-End针尖最大下降深度,svg-reagent-s53-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
396,界面控件,试剂_S53_Z-Dispens吸液/排液高度,svg-reagent-s53-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
397,界面控件,试剂_S53_通道移液面板,svg-reagent-s53-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
398,界面控件,试剂_S53_移液孔位,svg-reagent-s53-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
399,界面控件,试剂_S53_移液液量,svg-reagent-s53-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
400,界面控件,试剂_S53_控制针,svg-reagent-s53-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
401,界面控件,试剂_S14_条码ROI面板,svg-reagent-s14-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
402,界面控件,试剂_S14_ROI Left,svg-reagent-s14-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
403,界面控件,试剂_S14_ROI Top,svg-reagent-s14-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
404,界面控件,试剂_S14_ROI Width,svg-reagent-s14-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
405,界面控件,试剂_S14_ROI Height,svg-reagent-s14-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
406,界面控件,试剂_S14_孔位Z参数面板,svg-reagent-s14-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
407,界面控件,试剂_S14_液体类型,svg-reagent-s14-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
408,界面控件,试剂_S14_Z-Travel安全移动高度,svg-reagent-s14-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
409,界面控件,试剂_S14_Z-Start探液高度,svg-reagent-s14-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
410,界面控件,试剂_S14_Z-End针尖最大下降深度,svg-reagent-s14-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
411,界面控件,试剂_S14_Z-Dispens吸液/排液高度,svg-reagent-s14-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
412,界面控件,试剂_S14_通道移液面板,svg-reagent-s14-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
413,界面控件,试剂_S14_移液孔位,svg-reagent-s14-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
414,界面控件,试剂_S14_移液液量,svg-reagent-s14-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
415,界面控件,试剂_S14_控制针,svg-reagent-s14-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
416,界面控件,试剂_S24_条码ROI面板,svg-reagent-s24-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
417,界面控件,试剂_S24_ROI Left,svg-reagent-s24-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
418,界面控件,试剂_S24_ROI Top,svg-reagent-s24-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
419,界面控件,试剂_S24_ROI Width,svg-reagent-s24-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
420,界面控件,试剂_S24_ROI Height,svg-reagent-s24-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
421,界面控件,试剂_S24_孔位Z参数面板,svg-reagent-s24-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
422,界面控件,试剂_S24_液体类型,svg-reagent-s24-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
423,界面控件,试剂_S24_Z-Travel安全移动高度,svg-reagent-s24-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
424,界面控件,试剂_S24_Z-Start探液高度,svg-reagent-s24-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
425,界面控件,试剂_S24_Z-End针尖最大下降深度,svg-reagent-s24-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
426,界面控件,试剂_S24_Z-Dispens吸液/排液高度,svg-reagent-s24-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
427,界面控件,试剂_S24_通道移液面板,svg-reagent-s24-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
428,界面控件,试剂_S24_移液孔位,svg-reagent-s24-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
429,界面控件,试剂_S24_移液液量,svg-reagent-s24-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
430,界面控件,试剂_S24_控制针,svg-reagent-s24-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
431,界面控件,试剂_S34_条码ROI面板,svg-reagent-s34-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
432,界面控件,试剂_S34_ROI Left,svg-reagent-s34-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
433,界面控件,试剂_S34_ROI Top,svg-reagent-s34-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
434,界面控件,试剂_S34_ROI Width,svg-reagent-s34-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
435,界面控件,试剂_S34_ROI Height,svg-reagent-s34-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
436,界面控件,试剂_S34_孔位Z参数面板,svg-reagent-s34-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
437,界面控件,试剂_S34_液体类型,svg-reagent-s34-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
438,界面控件,试剂_S34_Z-Travel安全移动高度,svg-reagent-s34-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
439,界面控件,试剂_S34_Z-Start探液高度,svg-reagent-s34-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
440,界面控件,试剂_S34_Z-End针尖最大下降深度,svg-reagent-s34-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
441,界面控件,试剂_S34_Z-Dispens吸液/排液高度,svg-reagent-s34-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
442,界面控件,试剂_S34_通道移液面板,svg-reagent-s34-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
443,界面控件,试剂_S34_移液孔位,svg-reagent-s34-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
444,界面控件,试剂_S34_移液液量,svg-reagent-s34-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
445,界面控件,试剂_S34_控制针,svg-reagent-s34-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
446,界面控件,试剂_S44_条码ROI面板,svg-reagent-s44-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
447,界面控件,试剂_S44_ROI Left,svg-reagent-s44-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
448,界面控件,试剂_S44_ROI Top,svg-reagent-s44-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
449,界面控件,试剂_S44_ROI Width,svg-reagent-s44-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
450,界面控件,试剂_S44_ROI Height,svg-reagent-s44-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
